id,category_id,category,harm_type,severity,reversibility,description,warning_behavior_1,warning_behavior_2,warning_behavior_3
CAT-01-001,CAT-01,Harassment,Harassment / Targeted Abuse,High,Partial,Repeated targeting of specific individuals with hostile or threatening content.,Repeated @-mentions or replies with hostile language,Screenshots of target shared in group chats or forums,Use of multiple accounts to evade blocks
CAT-01-002,CAT-01,Harassment,Offensive / Disturbing Content,Medium,High,"Exposure to content designed to shock, demean, or distress.",Rapid escalation in graphic or shock-value language,Sending unsolicited disturbing media or links,Patterns of content designed to provoke emotional distress
CAT-01-003,CAT-01,Harassment,Cyberstalking,High,Partial,Persistent monitoring and contact with intent to intimidate or control.,Repeated unsolicited contact after being blocked,Commenting on all posts indicating constant monitoring,References to target's offline movements or private details
CAT-01-004,CAT-01,Harassment,Doxxing,High,Low,Publishing private identifying information to incite harm or harassment.,Requests for target's address or workplace in public forums,Posts aggregating personal details with implicit threat,Sharing partial identifying info alongside hostile commentary
CAT-01-005,CAT-01,Harassment,Hate-motivated Harassment,High,Partial,Targeted abuse rooted in protected identity characteristics.,Use of slurs or dehumanizing language tied to identity group,Coordinated reporting or flagging of target's accounts,Tagging extremist communities in posts about the target
CAT-01-006,CAT-01,Harassment,Sextortion,Critical,Low,Coercive threats to distribute intimate content unless demands are met.,Unsolicited requests for intimate images or personal photos,Private messages shifting from friendly to coercive tone,Explicit or implied threats tied to prior shared content
CAT-01-007,CAT-01,Harassment,Impersonation / Persona Abuse,High,Partial,"Using fabricated or stolen identity to deceive, humiliate, or harm a target.",Creation of accounts with target's name or profile photo,Posts made 'as' the target in public forums,Contact with target's network using false identity
CAT-01-008,CAT-01,Harassment,Coordinated Pile-on / Mobbing,High,Partial,Organized group harassment campaigns targeting individuals.,Sudden spike in hostile replies from unconnected accounts,Shared callout posts with target tagged in multiple communities,Organized off-platform coordination to flood target's content
CAT-01-009,CAT-01,Harassment,AI-generated Deepfake Harassment,High,Low,Using synthetic media to fabricate compromising or humiliating depictions of real individuals.,Circulation of manipulated images or videos of target,Requests for AI tools to generate likeness of specific individuals,Synthetic media posted alongside real identifying information
CAT-02-001,CAT-02,Misinformation,Misinformation (non-targeted),Medium,Partial,Adoption and spread of false beliefs without awareness of inaccuracy.,Sharing articles without reading past the headline,Absence of source attribution in widely circulated claims,High engagement on content that contradicts verified sources
CAT-02-002,CAT-02,Misinformation,Disinformation at Scale,High,Low,Coordinated narrative distortion leading to measurable shifts in public belief or behavior.,Coordinated simultaneous posting of identical narratives,Networks of low-activity accounts amplifying the same claim,Rapid cross-platform spread of unverified breaking news
CAT-02-003,CAT-02,Misinformation,Health Misinformation,High,Low,Acting on false medical guidance in ways that cause physical harm.,Seeking medical advice in non-medical forums after diagnosis,Sharing unvetted treatment protocols with specific dosing,Hostile dismissal of users citing peer-reviewed evidence
CAT-02-004,CAT-02,Misinformation,Election / Voting Misinformation,Critical,Low,False information about voting processes suppressing or distorting democratic participation.,Claims about changed polling locations or dates without official sourcing,Posts discouraging voting citing 'rigged' systems before official results,Coordinated sharing of voter suppression narratives on election day
CAT-02-005,CAT-02,Misinformation,Scientific Consensus Denial,High,Low,Rejection of empirically established findings based on AI-amplified false narratives.,Repeated citation of retracted or fringe studies,Framing of scientific institutions as conspiratorial,Community formation around rejection of established evidence
CAT-02-006,CAT-02,Misinformation,Fabricated News / Synthetic Media,High,Low,Distribution of AI-generated false news stories or manipulated media presented as factual.,Viral images or videos with no verifiable original source,AI-generated article formatting mimicking legitimate outlets,Metadata inconsistencies in circulated media files
CAT-02-007,CAT-02,Misinformation,Historical Revisionism,Medium,Low,Systematic distortion of historical events to serve ideological agendas.,Systematic minimization of documented atrocities in group discussions,Posts reframing perpetrators as victims across ideological communities,Coordinated edits to collaborative reference platforms
CAT-02-008,CAT-02,Misinformation,Financial Misinformation,High,Partial,False investment or market information causing economic harm.,Unsourced claims of insider knowledge about stock movements,Pump-and-dump language in investment communities,Sudden coordinated posting about obscure assets
CAT-02-009,CAT-02,Misinformation,Crisis Misinformation,Critical,Low,False information circulated during emergencies that disrupts relief efforts or causes panic.,Unverified casualty figures shared ahead of official reports,Instructions contradicting emergency services guidance,Viral posts attributing crisis to targeted groups without evidence
CAT-02-010,CAT-02,Misinformation,Astroturfing,High,Partial,AI-generated fake grassroots movements manufacturing false public consensus.,Nearly identical comment text posted across unrelated forums,Accounts created in clusters with similar naming patterns,Sudden surge in support for niche position from new accounts
CAT-03-001,CAT-03,Persuasion,Psychological Manipulation,High,Partial,Behavioral compliance achieved through exploitation of cognitive biases or emotional vulnerabilities.,Repeated reframing of a person's stated preferences against them,Leveraging personal disclosures to create emotional dependency,Escalating urgency without factual basis to override deliberation
CAT-03-002,CAT-03,Persuasion,Influence Operations,High,Low,Manufactured consensus shaping political or social behavior without disclosed intent.,Cross-platform amplification with no organic engagement baseline,Consistent messaging shift coordinated across unlinked accounts,Fabricated testimonials attributed to real or fictional individuals
CAT-03-003,CAT-03,Persuasion,Dark Pattern Amplification,Medium,Partial,AI-enhanced interface design exploiting behavioral tendencies to extract unwanted compliance.,Interface prompts that obscure opt-out or cancellation paths,Pre-checked consent boxes in privacy or subscription flows,Countdown timers on decisions with no genuine time constraint
CAT-03-004,CAT-03,Persuasion,Microtargeted Behavioral Manipulation,High,Low,Hyper-personalized persuasion exploiting individual psychological profiles.,Ads or content referencing personal data not voluntarily disclosed,Messaging that mirrors recent private communications,Behavioral nudges timed to emotional vulnerability indicators
